model,num_correct,avg_eps,avg_l2,avg_linf,avg_lpips,avg_spearman
tinynet_d,496,0.0025026411290322583,0.8755119,0.002502653,0.0,-0.00044727824422237627
semnasnet_100,521,0.009547754318618044,2.507298,0.009547766,0.0,0.005399694908303563
tinynet_e,121,0.002975371900826447,0.96326,0.0029753842,0.0,-0.007031147597235059
coat_mini,825,0.1035606909090909,22.000658,0.10356071,0.0,0.006942282858811019
cait_m36_384,900,0.20383405555555556,69.64697,0.2034971,0.0,0.005450485087049818
dm_nfnet_f2,885,0.12623231638418078,26.437668,0.12623233,0.0,0.009070713408063062
regnety_320,740,0.013694500000000002,3.414232,0.0136945145,0.0,0.017663551040566067
dla102,618,0.00537799352750809,1.578718,0.005378006,0.0,0.009689047554532256
xcit_large_24_p16_224,935,0.16254291978609622,32.68681,0.16254294,0.0,0.0077253960865336525
swinv2_base_window8_256,885,0.16510910734463274,36.835552,0.1647123,0.0,-0.0009460607984969518
volo_d3_448,900,0.06773514444444445,30.231506,0.06768721,0.0,0.007670337717845477
maxvit_rmlp_pico_rw_256,827,0.10592981862152358,25.74207,0.10592984,0.0,0.014092379976405339
xception65,880,0.08862482954545453,18.195564,0.08861102,0.0,0.005939579940805227
volo_d4_224,907,0.07789673649393607,16.978155,0.07789675,0.0,0.005685988730188804
dla102x,826,0.005271525423728813,1.5193788,0.0052715377,0.0,0.00475469383614672
coat_tiny,770,0.06121383116883117,13.608525,0.061213847,0.0,0.01383274843323435
deit3_huge_patch14_224,905,0.12208373480662985,25.827972,0.12208375,0.0,0.004982906635857263
regnetz_040,890,0.1375026404494382,28.029644,0.13750266,0.0,0.008100379451222977
xcit_medium_24_p8_224,926,0.20945099352051835,40.563923,0.20941807,0.0,0.009988663380793789
swinv2_base_window16_256,888,0.16665556306306306,37.84661,0.16632603,0.0,-0.007711385330607332
dm_nfnet_f3,831,0.13982004813477739,28.649633,0.13982007,0.0,0.001706966890160119
coatnet_0_rw_224,910,0.10288927472527472,21.637667,0.10288929,0.0,0.007518924764164249
maxvit_tiny_rw_224,912,0.1253883004385965,26.389229,0.12538831,0.0,0.006388772093598681
regnetz_040h,900,0.1870786222222222,37.1447,0.18707864,0.0,0.0030380481132538505
xcit_medium_24_p16_224,916,0.1274205021834061,26.353603,0.12740546,0.0,0.0030910333043196285
dla102x2,848,0.008307629716981133,2.2268362,0.008307642,0.0,0.014130599097488136
swinv2_cr_small_224,907,0.12439598676957,24.934217,0.12435868,0.0,-0.009852934593029598
volo_d5_224,907,0.08543590959206175,18.411978,0.08543593,0.0,0.005635472519965232
maxvit_rmlp_tiny_rw_256,903,0.15683676633444077,36.636536,0.15664835,0.0,0.005731941895162353
volo_d4_448,906,0.07964071743929362,34.969753,0.079640724,0.0,0.010799400257854318
xcit_nano_12_p8_224,693,0.021182453102453102,5.0763445,0.021182466,0.0,0.003888100580598214
